Variable,Category,n,Percent,Mean,SD,Min,Max
Playstyle,Multiplayer - online - with online friends and strangers,1,0.008,NA,NA,NA,NA
Playstyle,"Multiplayer - Online - With real friends, and with online acquaintances, and strangers",1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with real life friends,5271,41.39,NA,NA,NA,NA
Playstyle,Multiplayer - online - with real life friends + with strangers,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with real life friends and online acquaintances,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - Online - with real life friends and online acquaintances,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - Online - With real life friends and online acquaintances,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with real life friends and strangers,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with real life friends and with strangers,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with real life friends or strangers,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with real life friends+with ppl i met over internet and we play together and meet each other,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with strangers,3907,30.679,NA,NA,NA,NA
Playstyle,Multiplayer - online - with strangers - but skyping with friends,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with strangers against A.I.,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with strangers and real life friends,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with strangers or real life friends,1,0.008,NA,NA,NA,NA
Playstyle,"Multiplayer - online - with strangers, real life friends, and online acquaintances/teammates",1,0.008,NA,NA,NA,NA
Playstyle,"Multiplayer - online - with strangers, sometimes with some friends",1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online (with real life friends and with strangers),1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online I consider the people I've online to be real friends but I'm not sure that's what your real life friends option alludes to?,1,0.008,NA,NA,NA,NA
Playstyle,"Multiplayer - online with both online acquaintances and real life friends, equally",1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online with both real life friends and online acquaintances,1,0.008,NA,NA,NA,NA
Playstyle,"Multiplayer - online with friends, teammates and strangers",1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online with friends/strangers/team,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online with online team mates and real life friends,1,0.008,NA,NA,NA,NA
Playstyle,"Multiplayer - online with real friends, online acquaintances, and strangers",1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online with real life friends & online acquaintances.,1,0.008,NA,NA,NA,NA
Playstyle,multiplayer - online with real life friends + stragners,1,0.008,NA,NA,NA,NA
Playstyle,"Multiplayer - online, probably even split between RL friends/online friends/soloq",1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - With friends and strangers,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - With strangers and friends,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer -online- with both online acquaintances and real life friends,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer 2&3,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer equally with strangers or real life friends,1,0.008,NA,NA,NA,NA
Playstyle,multiplayer mixture of both real and online friends,1,0.008,NA,NA,NA,NA
Playstyle,"Multiplayer online with both, real life friends and people i met on the internet",1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer online with friends and random people,1,0.008,NA,NA,NA,NA
